tiempo, ax, ay, az
2.63,134.807,119,150.614
2.64,133,117.768,151.96
2.65,133.383,121.192,157.149
2.66,136.813,122.438,151.38
2.67,135.614,119.807,148.842
2.68,132.192,121.575,151.452
2.69,132,118.808,153.931
2.7,134.192,116.384,149.151
2.71,136,120.256,155.231
2.72,134.411,120.706,144
2.73,132.154,119.308,153.386
2.74,132.706,121.706,153.47
2.75,132.705,120.295,150.409
2.76,134.294,120.588,150.352
2.77,134.409,122.296,148.34
2.78,133,120.705,151.125
2.79,132.039,121.922,154.272
2.8,132,124.116,153.821
2.81,132.589,120.705,151.358
2.82,133.701,121.897,150.815
2.83,133.705,122.295,156
2.84,131,122,147.653
2.85,132,122.617,158.704
2.86,134.193,118.807,148.54
2.87,132.808,118.575,146.042
2.88,132.807,121,162.615
2.89,132.382,121,148.526
2.9,134.616,123,154.547
2.91,133.97,123,150.667
2.92,132.116,121,149.501
2.93,131.039,120.078,153.844
2.94,131.192,121,157.232
2.95,133.128,122.256,150.256
2.96,134.353,122,148.706
2.97,135,121.787,152.787
2.98,134,122.192,151.423
2.99,134,122.45,157.775
3,132.208,123.417,148.251
3.01,134,124.106,153.106
3.02,132.776,122.552,151.21
3.03,132.446,122.115,146.015
3.04,135.224,124,157.09
3.05,135.821,123.642,146.821
3.06,132,125,148.212
3.07,133.966,124.017,163.811
3.08,132.632,124,144.109
3.09,134.685,121.738,158.107
3.1,133.018,119.982,147.124
3.11,132.31,123.31,157.552
3.12,134.647,122.216,146.509
3.13,137.423,122.808,150.346
3.14,134.323,124.03,142.443
3.15,130.617,124,158.51
3.16,130.192,124.384,153.151
3.17,132.441,126.779,150.324
3.18,135.796,125.796,154.72
3.19,135.203,124,146.234
3.2,133.594,126.203,148.218
3.21,131.797,124,155.171
3.22,131.407,125.185,151.647
3.23,131.797,124.405,151.772
3.24,133,125.594,155.61
3.25,132.204,124.204,141.628
3.26,135,124.409,156.591
3.27,136,124.562,145.875
3.28,133.424,125.192,151.657
3.29,131,128.427,156
3.3,131.383,125.191,148.956
3.31,134,125.767,146.041
3.32,134.845,130.691,157.218
3.33,131,128.19,146.189
3.34,130.808,125,155.934
3.35,131.382,123.618,149.671
3.36,132.191,125.191,151.191
3.37,133.426,125.809,154.365
3.38,130.808,126,150.346
3.39,129.383,124.191,157.148
3.4,132.934,123.066,153.298
3.41,133.961,126.883,146.726
3.42,131.745,125.255,153.745
3.43,130,124.294,152.882
3.44,131.381,124.429,153.714
3.45,133,125.809,155.756
3.46,134.808,124.383,149.617
3.47,132,126.573,148.294
3.48,131.808,125.615,156.692
3.49,131.192,124.192,147.308
3.5,132,124,157.704
3.51,134.193,125,148.422
3.52,135.811,129,154.92
3.53,134,127.81,150.904
3.54,131.81,124.81,149.43
3.55,131.191,125.809,151.382
3.56,132.192,127.617,158.702
3.57,134.191,123.765,151.148
3.58,133,126.192,141.682
3.59,134,125.695,160.703
3.6,134,122.386,144.614
3.61,132.951,126,151.754
3.62,130.847,123.153,157.233
3.63,131.883,128.588,152.471
3.64,135,127.706,151.236
3.65,132.409,128,150.181
3.66,131,128,153
3.67,131,126.706,149.826
3.68,131.961,126.961,160.461
3.69,135.064,126.645,151.547
3.7,134.412,128.294,144.706
3.71,133.252,124.496,164.504
3.72,133,122.468,141.294
3.73,132.118,128.412,159.354
3.74,130.588,127.825,156.232
3.75,133.295,124.295,150.051
3.76,134.706,127.706,150.11
3.77,133,124.587,154.944
3.78,133.294,124.589,151.061
3.79,133,128.706,151.294
3.8,132.804,127.217,159.258
3.81,132.354,124.354,145.062
3.82,134.809,125.573,158.664
3.83,133,125,145.146
3.84,133.38,125.62,152.81
3.85,135.809,126.191,154.138
3.86,134.034,127,144.897
3.87,134,124.961,152.079
3.88,134.627,127.255,151.136
3.89,131.706,129,149.35
3.9,132,123.704,159.045
3.91,134.587,123.88,140.815
3.92,135.413,126.293,154.067
3.93,133.108,127.108,150.19
3.94,134,129,150.63
3.95,134.706,126.588,150
3.96,131,125.127,148.143
3.97,131.3,125.7,152
3.98,132.96,129.802,154.881
3.99,136.299,126.468,158.597
4,134.81,126.81,144.034
4.01,133,124.622,154.244
4.02,132.81,125.242,151.621
4.03,130.379,128.621,148.276
4.04,134,125.238,166.381
4.05,135.19,125,139.284
4.06,135.809,124.381,159.856
4.07,133,126.872,144.536
4.08,132.647,127.353,150.237
4.09,134.618,126.046,164.283
4.1,132.191,125.191,138.668
4.11,135,124.81,161.915
4.12,134.191,126.044,146.148
4.13,132,125.191,145.762
4.14,133.811,122.811,163.54
4.15,132.508,123.746,144.046
4.16,135,124.81,154
4.17,134.497,125.749,148.241
4.18,131.618,127.618,153.618
4.19,130.394,125.394,149.169
4.2,134,130,154.932
4.21,134.962,128.075,149.962
4.22,135.039,126,154.921
4.23,131.19,127,148.662
4.24,131.253,124.494,154.975
4.25,132.862,127.311,148.138
4.26,135,127.811,152.302
4.27,134.494,126.253,152.494
4.28,131.19,126.381,147.094
4.29,134,128,158.479
4.3,134,127.492,145.73
4.31,133.811,129.811,152.32
4.32,132,127.152,152.545
4.33,134.294,125.706,151
4.34,134,125.184,146.579
4.35,134.81,126.19,155.482
4.36,132.747,127.253,149.025
4.37,131.19,127,154.569
4.38,133.69,127.845,153.62
4.39,136.811,126,152.918
4.4,134.492,124,149.794
4.41,131,125.254,150.238
4.42,132,126.747,156.747
4.43,132.252,127.495,151
4.44,134,126,152.73
4.45,134.255,126.277,152.788
4.46,135,127.495,151.252
4.47,133.494,128,146.494
4.48,132,129.187,157.797
4.49,131.253,125.253,151.737
4.5,132,127.507,152.52
4.51,133.505,125.747,156.253
4.52,134.747,126.253,151.232
4.53,134,129.494,154.025
4.54,134,125.414,158.276
4.55,132.257,127.257,145.542
4.56,132,128.244,152.756
4.57,131.747,125.747,151.713
4.58,131.279,128.115,150.344
4.59,132.536,129.732,154.536
4.6,134,127.27,148.033
4.61,136,127.461,155.27
4.62,134,127.537,143.806
4.63,133.397,125.799,154.191
4.64,131,127.195,150.56
4.65,131.27,126,153.49
4.66,135,125.732,154
4.67,134,127.269,145.153
4.68,134.754,125.246,156.034
4.69,134,128.747,149.265
4.7,131.746,127.746,150.776
4.71,130.748,126.497,154.987
4.72,132.504,127,150.244
4.73,135,127.746,150.762
4.74,133.748,124.748,150.252
4.75,132,125.009,154.009
4.76,133.504,127.748,152.756
4.77,133.747,127.495,144.484
4.78,133.485,125.743,165.743
4.79,130.505,126.253,143.779
4.8,131.736,129.527,155.155
4.81,134.305,128.085,160.085
4.82,134.302,125.605,141.327
4.83,135,127.613,153.693
4.84,134.086,125.695,151.953
4.85,131,125.912,154.041
4.86,130.304,130.913,154.391
4.87,133.091,127.909,154.178
4.88,134.227,127.227,145.093
4.89,133.931,127.396,152.396
4.9,131.821,124,156.392
4.91,131,128.899,147.04
4.92,135.146,128,152.562
4.93,134,124.464,145.071
4.94,132.412,122.823,152.47
4.95,133.589,127,153.712
4.96,133.412,125.588,154.235
4.97,134,124,150.412
4.98,133.71,125.29,148.257
4.99,133.717,125.867,157.567
5,130.277,125,144.766
5.01,133,125,161.198
5.02,134.28,128.28,146.047
5.03,133.279,126,145.603
5.04,136.438,123.281,156.751
5.05,133.565,128.848,143.215
5.06,134.155,125.718,153.93
5.07,132.283,130,150.116
5.08,133,128.442,153.883
5.09,134,125.718,152.46
5.1,134.282,124.282,146.971
5.11,134.437,127,150.437
5.12,132,127.155,155.747
5.13,134.502,126.502,151.758
5.14,132.85,126.85,143
5.15,132.959,127.919,161.229
5.16,132,125.811,153.434
5.17,132.502,128,146.768
5.18,134.602,124.409,155.854
5.19,133.394,121.818,144.516
5.2,132.606,124.606,154.181
5.21,133.607,124,157.281
5.22,132.276,127.276,143.514
5.23,132.56,128.12,157.721
5.24,132,125.251,154.244
5.25,132,125.138,144.691
5.26,134,127.501,154.251
5.27,132.747,127.494,151.494
5.28,134,124,154.753
5.29,131.495,127.505,152.73
5.3,130.751,127.499,153.002
5.31,132.748,127.503,147.245
5.32,132.748,129.495,151.477
5.33,134,127,156.504
5.34,133,124.503,147.749
5.35,135.251,123.257,151.503
5.36,134.875,127.251,147.501
5.37,132,127.601,149.394
5.38,132,127,156.42
5.39,132.394,127.818,145.243
5.4,135,128.177,152.177
5.41,134.02,127.98,151
5.42,133,126.28,152.118
5.43,133,126.281,152
5.44,132,126.281,150.406
5.45,132,126.282,157.563
5.46,132,127.281,150.596
5.47,132.283,128.283,153.413
5.48,134,126.832,157.484
5.49,133.025,123.076,150
5.5,132,127.974,155.763
5.51,133.281,124.124,152.315
5.52,134,124.281,145.532
5.53,133.281,127.844,151.969
5.54,133.72,127.159,159.357
5.55,132.282,126.874,144.378
5.56,134,126.789,161.893
5.57,134,125.188,148.188
5.58,133,126.406,151.623
5.59,131.594,126.406,154.625
5.6,131.407,125.593,151.627
5.61,132,125.406,154.189
5.62,132.406,126.594,153.625
5.63,134.404,125.191,153.978
5.64,134.439,125.28,150.159
5.65,132,126.438,154.406
5.66,132,125.28,152.601
5.67,132,129.282,150.564
5.68,132,128.44,149.12
5.69,134,129,158.335
5.7,134.56,126,144.681
5.71,135,127.28,149.962
5.72,135,129,149.91
5.73,133.445,129.167,143.833
5.74,132.28,126.28,152.681
5.75,132.749,123.499,150.745
5.76,132,124.001,148.503
5.77,134.752,124.749,158.749
5.78,137,122.498,140.754
5.79,134.749,124.246,148.76
5.8,132.25,126.501,153.751
5.81,132.499,125.248,151.491
5.82,132.5,125,149.252
5.83,135,126.753,153.74
5.84,135,126.749,144.125
5.85,133,124.18,151.393
5.86,134.393,127,154.214
5.87,135.607,124,144.393
5.88,133.607,124.18,151.753
5.89,133,126,151.204
5.9,132.751,126.751,148.253
5.91,132,125.032,149.87
5.92,134.917,125,150.917
5.93,135,124.958,146.958
5.94,132,123.749,147.998
5.95,132.25,127,154
5.96,132.876,126.876,151.502
5.97,131.607,126.393,150.213
5.98,131,127.958,153.789
5.99,130,123.255,150.509
6,130.275,125.725,154.648
6.01,131.304,124.392,154.087
6.02,132.292,125.292,153.459
6.03,132.709,127.128,154.094
6.04,131.71,127.29,153.741
6.05,130,126.709,155.545
6.06,130,126.875,153.749
6.07,130.291,127.291,150.453
6.08,132.291,128,151.419
6.09,133,127,147.418
6.1,133,127.29,151.29
6.11,132.709,126.291,149.418
6.12,133,124.439,148.732
6.13,131.538,126.462,153.386
6.14,130.72,125,152.84
6.15,131,124,157.665
6.16,131,123.792,152.546
6.17,132.531,124.062,151.593
6.18,134,126.662,146.831
6.19,132.594,125.406,152.029
6.2,131,125.595,158.595
6.21,131.405,124.405,153.379
6.22,133.406,125.406,151.217
6.23,134,124.595,152.595
6.24,134.737,124,150
6.25,134,124.861,150.697
6.26,132.833,124.833,153.666
6.27,132.406,124,154.189
6.28,132,123.406,150.812
6.29,132,125.406,152.218
6.3,133.406,127.594,153.971
6.31,134,126.685,147.315
6.32,133.663,127.663,152
6.33,130.595,125,151.595
6.34,130,125,153
6.35,130,125,150.406
6.36,131.405,123.405,152.81
6.37,133.405,124,153
6.38,134,123.216,152.027
6.39,132.594,124.594,156.594
6.4,132,124,152.785
6.41,130.37,128.315,152.26
6.42,128,127.666,154.666
6.43,129.405,126,155.19
6.44,132.406,124.594,149.189
6.45,135,122.595,152.405
6.46,132.595,124,150.595
6.47,130.595,124,156.215
6.48,129,125.405,154.595
6.49,130.4,126.201,152.201
6.5,132,124,153.607
6.51,133,124,153.608
6.52,132.607,124.393,153.785
6.53,132,123.392,152.431
6.54,131.75,125,151.5
6.55,130,124,151.498
6.56,131.247,124,152.495
6.57,132,121.5,148.75
6.58,133.248,121,152.738
6.59,132,122.751,149.754
6.6,131,123.259,154.296
6.61,131,125.716,155.297
6.62,131,124.85,152.252
6.63,131,125.914,151.829
6.64,133.292,125.584,146.832
6.65,135.752,126.248,148.743
6.66,132.752,124.503,145.745
6.67,131.751,123,154.003
6.68,132,125.752,149.509
6.69,133,126,148.748
6.7,133.249,125.249,149.502
6.71,134,124.27,150
6.72,133,124.496,149.986
6.73,132.752,125,151.759
6.74,132,124,149.006
6.75,132.249,124.751,147.994
6.76,132.851,124,148.257
6.77,133.391,124.217,152.349
6.78,135,122,149.43
6.79,133.608,122,148.649
6.8,132,124,150.569
6.81,129.217,123.783,150.783
6.82,128.392,123.608,153.962
6.83,131,123,155.864
6.84,132.392,122,149.175
6.85,134,121.61,152.171
6.86,133.608,122.392,147.43
6.87,131.608,123,151.784
6.88,129.607,123.785,153.393
6.89,129.608,123.392,151
6.9,129,125.608,152.532
6.91,129,125.608,156.433
6.92,129,123.822,150.822
6.93,129.392,124.392,155.96
6.94,130.392,124,155.648
6.95,131,126,148.566
6.96,131,127,154.784
6.97,131,125.217,146.825
6.98,131.608,125,147.57
6.99,130.608,123.608,157.217
7,129,124.394,152.182
7.01,129.393,125.393,155.607
7.02,131.392,125.392,148.432
7.03,133.392,123.608,146
7.04,134,123.392,153.608
7.05,132,122.392,147.784
7.06,132,124,154.57
7.07,132,123.608,150.65
7.08,132.392,123,146.784
7.09,133,124,151.217
7.1,133,124,148.608
7.11,133.392,124,149.176
7.12,134,125.607,153.429
7.13,131.608,125.392,150
7.14,131,126,154.392
7.15,132.784,126,150.608
7.16,135,125,145.785
7.17,136,124.392,153.175
7.18,133.608,123.392,148.824
7.19,131.609,123,152.348
7.2,130.616,123.466,156.698
7.21,131,123,152.791
7.22,132.812,123.188,153.219
7.23,134,121,151.756
7.24,134.406,120.406,150.03
7.25,133.594,121.812,151.782
7.26,132,123.811,148.784
7.27,131.405,124,149.619
7.28,131.594,123.594,150.377
7.29,132.405,122.595,148.379
7.3,134.406,122.594,150.812
7.31,135,124,144.161
7.32,135,124,145.028
7.33,132.182,125.591,144.591
7.34,130,126.405,148.405
7.35,131.405,126.595,153.405
7.36,133,126.406,147.594
7.37,133,126.262,150.215
7.38,132.139,127.861,144.697
7.39,132,124.862,150
7.4,131,124,150.811
7.41,131,125.441,156.279
7.42,131,120.722,151.722
7.43,132.083,120.166,148.665
7.44,133,122.189,156
7.45,132.478,121.478,149.389
7.46,130.85,123,158.101
7.47,130,123.392,154.784
7.48,129.391,121,153.391
7.49,130.391,121,151.566
7.5,131,121,153
7.51,131,121.598,149.99
7.52,130.044,121.956,152.738
7.53,130,123,157.217
7.54,130,122.784,148.175
7.55,130.609,124.173,155.436
7.56,130,125.392,151.743
7.57,130,125.392,151.825
7.58,130.391,127,158.391
7.59,130.391,125.827,147.218
7.6,131.608,123.217,152.65
7.61,131.392,124,153.92
7.62,131.754,121.246,154.277
7.63,130.246,122.493,154.232
7.64,131,121.754,156.523
7.65,132.489,120.734,151.734
7.66,133.247,123.247,147.74
7.67,132,124.755,153.123
7.68,131,122.566,153.698
7.69,132,124.877,157.509
7.7,132.392,122.392,152.784
7.71,132,123,152
7.72,133,124,152.784
7.73,133,123.609,148.782
7.74,132,122.391,153
7.75,131,123.392,155
7.76,131,123,157.413
7.77,132,122.174,152.783
7.78,132,125.175,151.608
7.79,132,123.609,155.955
7.8,132,123.265,151.941
7.81,132,123.017,153.917
7.82,133,122.07,155.965
7.83,133,123.893,150.964
7.84,133,125.48,151.74
7.85,131.738,123,149
7.86,131,122.524,151.524
7.87,131.738,123.738,153.953
7.88,130,123,150
7.89,131.262,124,156
7.9,132.261,123.739,147.783
7.91,133,123,151.213
7.92,134.739,123,152.739
7.93,132.87,122.13,145.87
7.94,131.608,122.217,158.217
7.95,130,120.782,149.391
7.96,130.391,122.391,153.783
7.97,132.39,122.61,149.829
7.98,133,122.956,147.044
7.99,134,121.609,152.219
8,132.609,123.391,147.174
8.01,132,124.608,150.785
8.02,132,122.22,149.66
8.03,131,124.172,144.954
8.04,131.608,124.216,156.432
8.05,131,122.782,147
8.06,132,123.609,152
8.07,132,122.611,147.222
8.08,131.609,124,146.391
8.09,131.391,123.609,153
8.1,130.609,124,150
8.11,131,123.609,150.391
8.12,132,123,151.435
8.13,131,122.609,147.218
8.14,132,122.391,151.954
8.15,130.609,123,152.218
8.16,131.391,121.609,154.173
8.17,131,123,151.828
8.18,131,125,151.565
8.19,130,123.391,151.828
8.2,129.391,125,152.956
8.21,129,124,154
8.22,129.391,123,152
8.23,130,122.609,153.218
8.24,130,123.608,152.825
8.25,129.122,125.755,156.489
8.26,131,123,152.631
8.27,130,124.147,151.147
8.28,131,124.827,154.173
8.29,130.609,124,147.827
8.3,130,125.391,154.174
8.31,130,125.749,154.498
8.32,131,124.246,149.737
8.33,131,125,153.491
8.34,132,124.489,151.532
8.35,131.754,123.754,151.246
8.36,131.246,122.754,151.739
8.37,132,123.245,151.51
8.38,132,122.757,149.757
8.39,132,123.499,153.25
8.4,132,124.751,149
8.41,132.599,123.401,150.401
8.42,132.721,124.163,150.605
8.43,133,122.727,150.367
8.44,132,123.724,152
8.45,133,122,152.449
8.46,133,121.726,151
8.47,133,121.275,149.725
8.48,131.726,122.274,151.096
8.49,130.726,123.451,154.177
8.5,131,122,155
8.51,132,124,151.559
8.52,133.275,123.275,149.377
8.53,132,123.172,153.448
8.54,131.275,122.449,151.826
8.55,131,121.9,152.075
8.56,132,122.167,151.5
8.57,132,122.029,150.941
8.58,131.029,122.941,148.117
8.59,131,123,152.176
8.6,131,123.275,154
8.61,130.725,123.725,151.348
8.62,130,122.449,152.275
8.63,130,122,151.276
8.64,130,121,151.725
8.65,132,120.275,155.451
8.66,131.274,121.274,147.097
8.67,131.725,122.275,155.725
8.68,131,121,150.726
8.69,130,123,151.1
8.7,131,122.726,157.632
8.71,131,122,148.082
8.72,131,122,149.412
8.73,131,123.53,153
8.74,131.166,123,146.163
8.75,131,123.404,151.384
8.76,131,123.193,153.596
8.77,130,123.806,147.822
8.78,130,123,153.175
8.79,131,122.404,153.404
8.8,131.403,123.21,149.613
8.81,132.403,123.597,154.209
8.82,132.589,123.178,149.945
8.83,131.592,123.183,150.183
8.84,132,122.713,152.143
8.85,131.858,122,147.142
8.86,131.171,122.829,150.027
8.87,132.592,123,152.551
8.88,131.592,123,148.816
8.89,131.408,124.592,155.448
8.9,131,124,149.92
8.91,131,123.592,151.448
8.92,132,123,152.793
8.93,131.593,122.407,147
8.94,132,123.592,154.042
8.95,131.592,121.592,151.369
8.96,131.592,122.408,153.632
8.97,131,123.185,156.593
8.98,131,122.406,149.968
8.99,131,123.194,152.016
9,132,122.373,152.373
9.01,130.631,123,150.893
9.02,130,125,154.395
9.03,130.742,125,155.71
9.04,130,124,145
9.05,131,126.26,156.26
9.06,131,126,151.965
9.07,130,124.741,147.334
9.08,131,123.74,159.183
9.09,131,122.259,147.741
9.1,132,124.483,153.034
9.11,132,121.056,152.112
9.12,131.036,122,149
9.13,131,121.045,154.955
9.14,131,119.244,152.023
9.15,131,121.244,152.705
9.16,131.245,122.245,157.287
9.17,132,121.756,147.488
9.18,132,122.244,153.487
9.19,132,122,153.784
9.2,131,122,144.214
9.21,131.756,123.244,161.294
9.22,131,124,149.135
9.23,130,125.244,151.732
9.24,131.244,123.756,152.512
9.25,132,124.757,148.973
9.26,132,123,153.757
9.27,132,121.756,151.025
9.28,131,123,151.22
9.29,130.757,120.243,155.027
9.3,130.243,120.243,145.459
9.31,132.244,123,151.244
9.32,133.756,122.513,153.294
9.33,132,122,146.731
9.34,131.39,123,158.39
9.35,131,122,148.438
9.36,131.39,122.39,151.171
9.37,133.39,121,152.22
9.38,132.609,120.609,142.391
9.39,133,120.782,154.347
9.4,130.61,120.39,150.22
9.41,131,122.221,156.39
9.42,131,120.61,151
9.43,132,121.39,148.39
9.44,132,122,157.78
9.45,132,119.51,152
9.46,131,120.243,149.485
9.47,130,122,159
9.48,129.244,120.512,153.512
9.49,131,122.24,154.519
9.5,132,123.244,146.488
9.51,132.517,125.241,151.31
9.52,131,124,152.451
9.53,129.757,123,147
9.54,129.743,122.257,155.743
9.55,130.242,121.758,153.273
9.56,131,121,147.507
9.57,132.243,121.243,153.243
9.58,131,121,150
9.59,131.242,121.242,151.693
9.6,132.759,120.759,154.346
9.61,131,120,145.497
9.62,131,121.242,154.758
9.63,130.759,122.241,153.278
9.64,130,121.495,152.766
9.65,130.758,119.484,155.547
9.66,132.242,122,153.242
9.67,134,123,153.758
9.68,132.516,122.726,147.484
9.69,130,124.757,153.214
9.7,128.758,123.758,152.031
9.71,128,123,153
9.72,129.241,122,158.276
9.73,130.264,121,147.792
9.74,132.487,120.243,154.243
9.75,134,120.243,150.784
9.76,132.759,121,146.69
9.77,131,121,157.031
9.78,130,121.521,153.282
9.79,129.243,122,150.943
9.8,130.242,122.516,155.032
9.81,131.242,122.758,149.758
9.82,133,122,150
9.83,133,122,155.497
9.84,131,122.241,150.724
9.85,130.758,122.758,156.788
9.86,129.759,123.241,153.795
9.87,131.242,122.758,150.484
9.88,132,123,150.242
9.89,132,123.272,153
9.9,132,119.758,155.273
9.91,132,119,150.42
9.92,132.953,119.953,149.859
9.93,133,121,150.194
9.94,131,121,149.241
9.95,132,120.758,156.242
9.96,131,119.759,145.481
9.97,131,121,153.451
9.98,131,122,156.83
9.99,131,122.928,149.145
10,131,122.181,151.362
10.01,131,122.958,155.874
10.02,131,120,153.88
10.03,131,121.218,158.655
10.04,130,122,153.722
10.05,131,122.221,157.831
10.06,130,121,148.051
10.07,131.389,122.222,150.945
10.08,132,121,149.39
10.09,132,121,150.222
10.1,132.61,120.221,153.662
10.11,131.611,121.778,150.389
10.12,130.389,122,148.168
10.13,131,121.403,152.387
10.14,131.396,120.396,145.792
10.15,133.395,121,150.395
10.16,134,121,148
10.17,133,120.604,147.187
10.18,132.604,123.396,153.811
10.19,132,123.396,151
10.2,131,121.402,149.816
10.21,131,121.777,151.611
10.22,132.82,123.18,153.41
10.23,135,123.544,147
10.24,133.729,124,150.542
10.25,132.729,123.188,151.812
10.26,128.729,121,147.271
10.27,128.272,120,154.272
10.28,129.271,120.729,152.917
10.29,130.27,119,151.349
10.3,131.271,120,156.729
10.31,132.728,120,151.003
10.32,132.729,120.271,149.894
10.33,130.727,121.273,151.908
10.34,128.796,120.796,150
10.35,128,120.975,152.925
10.36,129,121.974,152.104
10.37,131.973,120.027,149.027
10.38,132.729,123,151.915
10.39,131.729,122.271,150
10.4,130.728,123,151.272
10.41,129,122.544,146.815
10.42,129.729,122,155.187
10.43,129,122.646,152
10.44,129.406,122.406,155.625
10.45,131.4,121.6,152.8
10.46,132.604,123,148.209
10.47,133,123,154.187
10.48,131.603,121.603,149.603
10.49,131,121.792,154.166
10.5,129.604,123.604,159.208
10.51,129,123,152.021
10.52,130.395,125,155.395
10.53,131,122.209,150.604
10.54,132,121.395,148.605
10.55,132.605,122.186,151.395
10.56,131.604,123.396,155.396
10.57,130.603,123.397,154.207
10.58,130,124,155
10.59,130,123.228,154.912
10.6,131,123.395,151.395
10.61,132.395,122.605,153.582
10.62,133,122,150
10.63,133,123,151.396
10.64,132.605,124,154.814
10.65,130.605,123.79,149.605
10.66,130.604,123.396,155.417
10.67,130,123.396,148.792
10.68,131.799,122.799,152.4
10.69,133.395,122.605,150.79
10.7,133,121.693,147.346
10.71,133.491,125,157.727
10.72,130.748,124.252,147.252
10.73,130,124.564,153.564
10.74,129.408,125.183,149.817
10.75,131.401,123.599,152.796
10.76,133.407,121.813,150.593
10.77,134,122.407,152.22
10.78,133,121,149.814
10.79,131,121.594,149.188
10.8,130,122.186,150.966
10.81,130.406,121.594,150.406
10.82,131.408,122,153.224
10.83,132.403,121.403,151.806
10.84,132,120,153.21
10.85,132,119.398,148.205
10.86,132,121,152.814
10.87,131,121,147.209
10.88,130,121.396,149.979
10.89,130.395,120.605,153.186
10.9,131.396,120,148.208
10.91,132,121,153
10.92,132,122,152.625
10.93,130.604,121.187,151.604
10.94,129,120.395,152.163
10.95,129,120,153.814
10.96,131,120.747,149.747
10.97,132,122,155.986
10.98,131,123.705,152
10.99,131,122.395,148.977
11,130.604,123.604,153
11.01,130,123.395,149.395
11.02,129,124,158
11.03,128.396,121.604,151.791
11.04,130.394,121.787,154
11.05,132,123.608,152.176
11.06,131.611,120.611,151.668
11.07,129.611,122.389,153.943
11.08,128,121.834,157.057
11.09,129,121.164,155.552
11.1,129.389,122,153.777
11.11,131,121.388,159
11.12,131,123.224,151.612
11.13,132,122.224,157.388
11.14,131,122,150.665
11.15,131,123.778,153.722
11.16,131,123.389,153.611
11.17,129.611,122.389,148.778
11.18,130.389,125.611,156.945
11.19,132,123.612,150.118
11.2,133.388,124.388,148.554
11.21,133,125.835,153
11.22,132.612,123.388,147.224
